Symbol,Name,Country,IPO Year,Volume,Sector,Industry
CYCC,Cyclacel Pharmaceuticals Inc. Common Stock,United States,,587810,Health Care,Biotechnology: Pharmaceutical Preparations
CYCCP,Cyclacel Pharmaceuticals Inc. 6% Convertible Preferred Stock,United States,,4203,Health Care,Biotechnology: Pharmaceutical Preparations
CYCN,Cyclerion Therapeutics Inc. Common Stock,United States,,20350,Health Care,Biotechnology: Pharmaceutical Preparations
CYCU,Cycurion Inc. Common Stock,United States,2025,756778,Technology,EDP Services
CYCUW,Cycurion Inc. Warrant,United States,2025,2033,Technology,EDP Services
CYD,China Yuchai International Limited Common Stock,Singapore,1994,141039,Industrials,Industrial Machinery/Components
CYH,Community Health Systems Inc. Common Stock,United States,2000,1518173,Health Care,Hospital/Nursing Management
CYN,Cyngn Inc. Common Stock,United States,2021,36747,Technology,EDP Services
CYRX,CryoPort Inc. Common Stock,United States,,386733,Health Care,Biotechnology: Pharmaceutical Preparations
CYTK,Cytokinetics Incorporated Common Stock,United States,2004,1269654,Health Care,Biotechnology: Pharmaceutical Preparations
CZFS,Citizens Financial Services Inc. Common Stock,United States,,4230,Finance,Major Banks
CZNC,Citizens & Northern Corp Common Stock,United States,,28213,Finance,Major Banks
CZR,Caesars Entertainment Inc. Common Stock,United States,,5731369,Consumer Discretionary,Hotels/Resorts
CZWI,Citizens Community Bancorp Inc. Common Stock,United States,2006,22691,Finance,Savings Institutions
D,Dominion Energy Inc. Common Stock,United States,,5398003,Utilities,Electric Utilities: Central
DAAQ,Digital Asset Acquisition Corp. Class A Ordinary shares,United States,2025,579024,,
DAAQU,Digital Asset Acquisition Corp. Units,United States,2025,44235,Finance,Blank Checks
DAAQW,Digital Asset Acquisition Corp. Warrant,United States,2025,723093,,
DAC,Danaos Corporation Common Stock,Greece,2006,59307,Consumer Discretionary,Marine Transportation
DADA,Dada Nexus Limited American Depositary Shares,China,2020,483934,Technology,Computer Software: Programming Data Processing
DAIO,Data I/O Corporation Common Stock,United States,1981,23897,Industrials,Electrical Products
DAKT,Daktronics Inc. Common Stock,United States,1994,425620,Consumer Discretionary,Miscellaneous manufacturing industries
DAL,Delta Air Lines Inc. Common Stock,United States,,8229954,Consumer Discretionary,Air Freight/Delivery Services
DALN,DallasNews Corporation Series A Common Stock,United States,,11545,Consumer Discretionary,Newspapers/Magazines
DAN,Dana Incorporated Common Stock ,United States,,818980,Consumer Discretionary,Auto Parts:O.E.M.
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,China,2019,41538,Real Estate,Other Consumer Services
DAR,Darling Ingredients Inc. Common Stock,United States,1997,1538182,Consumer Staples,Packaged Foods
DARE,Dare Bioscience Inc. Common Stock,United States,2014,28106,Health Care,Biotechnology: Pharmaceutical Preparations
DASH,DoorDash Inc. Class A Common Stock,United States,,5138724,Consumer Discretionary,Business Services
DATS,DatChat Inc. Common Stock,United States,2021,84934,Telecommunications,Telecommunications Equipment
DATSW,DatChat Inc. Series A Warrant,United States,2021,414,Telecommunications,Telecommunications Equipment
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),United Kingdom,2018,1015074,Technology,EDP Services
DAVE,Dave Inc. Class A Common Stock,United States,,284306,Finance,Finance: Consumer Services
DAVEW,Dave Inc. Warrants,United States,,25412,Finance,Finance: Consumer Services
DAWN,Day One Biopharmaceuticals Inc. Common Stock,United States,2021,828801,Health Care,Biotechnology: Pharmaceutical Preparations
DAY,Dayforce Inc. Common Stock,United States,2018,1436978,Technology,Computer Software: Prepackaged Software
DB,Deutsche Bank AG Common Stock,Germany,,2226541,Finance,Major Banks
DBD,Diebold Nixdorf Incorporated Common stock,United States,2023,105487,Miscellaneous,Office Equipment/Supplies/Services
DBI,Designer Brands Inc. Class A Common Stock,United States,,843785,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,United States,2012,48157,,
DBRG,DigitalBridge Group Inc.,United States,2014,2655873,Real Estate,Real Estate Investment Trusts
DBRG^H,DigitalBridge Group Inc. 7.125% Series H ,United States,,16983,,
DBRG^I,DigitalBridge Group Inc. 7.15% Series I ,United States,,90364,,
DBRG^J,DigitalBridge Group Inc. 7.125% Series J ,United States,,11256,,
DBVT,DBV Technologies S.A. American Depositary Shares,France,2014,13262,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DBX,Dropbox Inc. Class A Common Stock,United States,2018,2986857,Technology,Computer Software: Prepackaged Software
DC,Dakota Gold Corp. Common Stock,United States,2022,1162376,Basic Materials,Metal Mining
DCBO,Docebo Inc. Common Shares,Canada,,60507,Technology,Computer Software: Prepackaged Software
DCGO,DocGo Inc. Common Stock,United States,2020,350173,Health Care,Medical/Nursing Services
DCI,Donaldson Company Inc. Common Stock,United States,,912788,Industrials,Pollution Control Equipment
DCO,Ducommun Incorporated Common Stock,United States,,75341,Industrials,Military/Government/Technical
DCOM,Dime Community Bancshares Inc. Common Stock,United States,,287711,Finance,Major Banks
DCOMG,Dime Community Bancshares Inc. 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034,United States,,150,Finance,Major Banks
DCOMP,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,9792,Finance,Major Banks
DCTH,Delcath Systems Inc. Common Stock,United States,,331354,Health Care,Medical/Dental Instruments
DD,DuPont de Nemours Inc. Common Stock,United States,2017,2031224,Industrials,Major Chemicals
DDC,DDC Enterprise Limited Class A Ordinary Shares,,2023,150298,Consumer Staples,Packaged Foods
DDD,3D Systems Corporation Common Stock,United States,,3015883,Technology,Computer Software: Prepackaged Software
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,South Korea,2021,24103,Technology,EDP Services
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),Cayman Islands,2021,300653,Consumer Discretionary,Catalog/Specialty Distribution
DDOG,Datadog Inc. Class A Common Stock,United States,2019,6009993,Technology,Computer Software: Prepackaged Software
DDS,Dillard's Inc. Common Stock,United States,,109065,Consumer Discretionary,Department/Specialty Retail Stores
DDT,Dillard's Capital Trust I,United States,,2292,Consumer Discretionary,Department/Specialty Retail Stores
DE,Deere & Company Common Stock,United States,,992714,Industrials,Industrial Machinery/Components
DEA,Easterly Government Properties Inc. Common Stock,United States,2015,625422,Real Estate,Real Estate Investment Trusts
DEC,Diversified Energy Company plc Ordinary Shares,,,388108,,
DECK,Deckers Outdoor Corporation Common Stock,United States,1993,2548163,Consumer Discretionary,Shoe Manufacturing
DEFT,Defi Technologies Inc. Common Stock,Canada,,1555937,Finance,Finance: Consumer Services
DEI,Douglas Emmett Inc. Common Stock,United States,2006,1229013,Real Estate,Real Estate Investment Trusts
DELL,Dell Technologies Inc. Class C Common Stock ,United States,2018,4529053,Technology,Computer Manufacturing
DENN,Denny's Corporation Common Stock,United States,,363460,Consumer Discretionary,Restaurants
DEO,Diageo plc Common Stock,United Kingdom,,751902,Consumer Staples,Beverages (Production/Distribution)
DERM,Journey Medical Corporation Common Stock,United States,2021,170617,Health Care,Biotechnology: Pharmaceutical Preparations
DEVS,DevvStream Corp. Common Stock,Canada,2024,835509,Finance,Finance/Investors Services
DFDV,DeFi Development Corp. Common Stock,United States,2023,1650469,Finance,Finance: Consumer Services
DFH,Dream Finders Homes Inc. Class A Common Stock,United States,2022,334743,Consumer Discretionary,Homebuilding
DFIN,Donnelley Financial Solutions Inc. Common Stock ,United States,2016,246081,Consumer Discretionary,Other Consumer Services
DFLI,Dragonfly Energy Holdings Corp. Common Stock (NV),United States,2021,184020,Miscellaneous,Industrial Machinery/Components
DFLIW,Dragonfly Energy Holdings Corp. Warrant,United States,2021,13533,Miscellaneous,Industrial Machinery/Components
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,,2013,60439,Finance,Investment Managers
DG,Dollar General Corporation Common Stock,United States,2009,6037002,Consumer Discretionary,Department/Specialty Retail Stores
DGICA,Donegal Group Inc. Class A Common Stock,United States,,106257,Finance,Property-Casualty Insurers
DGICB,Donegal Group Inc. Class B Common Stock,United States,1986,167,Finance,Property-Casualty Insurers
DGII,Digi International Inc. Common Stock,United States,1989,146572,Telecommunications,Computer Communications Equipment
DGLY,Digital Ally Inc. Common Stock,United States,,337966,Technology,Radio And Television Broadcasting And Communications Equipment
DGNX,Diginex Limited Ordinary Shares,Hong Kong,2025,25883,Technology,EDP Services
DGX,Quest Diagnostics Incorporated Common Stock,United States,,742962,Health Care,Medical Specialities
DGXX,Digi Power X Inc. Subordinate Voting Shares,Canada,,479332,Finance,Finance: Consumer Services
DH,Definitive Healthcare Corp. Class A Common Stock,United States,2021,516418,Technology,Computer Software: Prepackaged Software
DHAI,DIH Holdings US Inc. Class A Common Stock,United States,2024,315023,Health Care,Medical/Dental Instruments
DHAIW,DIH Holding US Inc. Warrants,United States,2024,15478,Health Care,Medical/Dental Instruments
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,United States,,681476,Real Estate,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,United States,,7459,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,United States,,15790,Real Estate,Real Estate Investment Trusts
DHF,BNY Mellon High Yield Strategies Fund Common Stock,United States,1998,664247,Finance,Finance Companies
DHI,D.R. Horton Inc. Common Stock,United States,,3721663,Consumer Discretionary,Homebuilding
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock,United States,,13654,Finance,Investment Managers
DHR,Danaher Corporation Common Stock,United States,,2596841,Industrials,Industrial Machinery/Components
DHT,DHT Holdings Inc.,Jersey,2005,2370948,Consumer Discretionary,Marine Transportation
DHX,DHI Group Inc. Common Stock,United States,2007,102123,Consumer Discretionary,Business Services
DHY,Credit Suisse High Yield Bond Fund Common Stock,United States,1998,238128,Finance,Finance/Investors Services
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,,2014,53278,Finance,Finance Companies
DIBS,1stdibs.com Inc. Common Stock,United States,2021,162007,Consumer Discretionary,Catalog/Specialty Distribution
DIN,Dine Brands Global Inc. Common Stock,United States,,406907,Consumer Discretionary,Restaurants
DINO,HF Sinclair Corporation Common Stock,United States,1960,3156700,Energy,Natural Gas Distribution
DIOD,Diodes Incorporated Common Stock,United States,,542536,Technology,Semiconductors
DIS,Walt Disney Company (The) Common Stock,United States,,5613847,Consumer Discretionary,Services-Misc. Amusement & Recreation
DIST,Distoken Acquisition Corporation Ordinary Shares,China,2023,150,Finance,Blank Checks
DISTR,Distoken Acquisition Corporation Right,China,2023,59874,Finance,Blank Checks
DISTW,Distoken Acquisition Corporation Warrant,China,2023,91577,Finance,Blank Checks
DIT,AMCON Distributing Company Common Stock,United States,1999,88,Consumer Discretionary,Food Distributors
DJCO,Daily Journal Corp. (S.C.) Common Stock,United States,,39579,Consumer Discretionary,Newspapers/Magazines
DJT,Trump Media & Technology Group Corp. Common Stock,United States,2024,7907092,Technology,Computer Software: Programming Data Processing
DJTWW,Trump Media & Technology Group Corp. Warrants,United States,2021,121482,Technology,Computer Software: Programming Data Processing
DK,Delek US Holdings Inc. Common Stock,United States,2017,1540911,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,United States,2012,174303,Energy,Natural Gas Distribution
DKNG,DraftKings Inc. Class A Common Stock,United States,2019,6012620,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Dick's Sporting Goods Inc Common Stock,United States,2002,1233427,Consumer Discretionary,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,United States,2005,382592,Miscellaneous,Multi-Sector Companies
DLHC,DLH Holdings Corp.,United States,,34850,Consumer Discretionary,Professional Services
DLNG,Dynagas LNG Partners LP Common Units,Greece,,17953,Consumer Discretionary,Marine Transportation
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,Greece,,5803,,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,Greece,,20812,,
DLO,DLocal Limited Class A Common Shares,Uruguay,2021,602324,Consumer Discretionary,Business Services
DLPN,Dolphin Entertainment Inc. Common Stock,United States,,82551,Consumer Discretionary,Other Consumer Services
DLR,Digital Realty Trust Inc. Common Stock,United States,2004,1609264,Real Estate,Real Estate Investment Trusts
DLR^J,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,United States,,3412,,
DLR^K,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share,United States,,6751,,
DLR^L,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock,United States,,37259,,
DLTH,Duluth Holdings Inc. Class B Common Stock,United States,2015,96260,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DLTR,Dollar Tree Inc. Common Stock,United States,1995,15586190,Consumer Discretionary,Department/Specialty Retail Stores
DLX,Deluxe Corporation Common Stock,United States,,418349,Consumer Discretionary,Publishing
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,United States,2020,84095,Finance,Investment Managers
DMA,Destra Multi-Alternative Fund Common Stock,,2022,6729,Finance,Trusts Except Educational Religious and Charitable
DMAA,Drugs Made In America Acquisition Corp. Ordinary Shares,United States,2025,140500,,
DMAAR,Drugs Made In America Acquisition Corp. Rights,United States,2025,20950,Finance,Blank Checks
DMAAU,Drugs Made In America Acquisition Corp. Units,United States,2025,1005,,
DMAC,DiaMedica Therapeutics Inc. Common Stock,United States,2018,183684,Health Care,Biotechnology: Pharmaceutical Preparations
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock,,2013,59036,Finance,Trusts Except Educational Religious and Charitable
DMF,BNY Mellon Municipal Income Inc. Common Stock,United States,1988,95261,Finance,Finance/Investors Services
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,United States,,81209,Energy,Oil & Gas Production
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,United States,2010,53016,Finance,Trusts Except Educational Religious and Charitable
DMRC,Digimarc Corporation Common Stock,United States,,158752,Technology,EDP Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,,2022,55776,Finance,Blank Checks
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,United States,2021,705262,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,United States,2020,5111772,Finance,Finance: Consumer Services
DNLI,Denali Therapeutics Inc. Common Stock,United States,2017,2081350,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNN,Denison Mines Corp Ordinary Shares (Canada),Canada,,141698131,Basic Materials,Other Metals and Minerals
DNOW,DNOW Inc. Common Stock,United States,2014,576905,Industrials,Metal Fabrications
DNP,DNP Select Income Fund Inc. Common Stock,United States,1987,446790,Finance,Investment Managers
DNTH,Dianthus Therapeutics Inc. Common Stock,United States,2018,160469,Health Care,Biotechnology: Pharmaceutical Preparations
DNUT,Krispy Kreme Inc. Common Stock,United States,2021,2458751,Consumer Staples,Food Chains
DOC,Healthpeak Properties Inc. Common Stock,United States,,4165678,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,United States,2021,953427,Technology,Computer Software: Programming Data Processing
DOCS,Doximity Inc. Class A Common Stock,United States,2021,1928312,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,United States,1989,3743681,Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation Class A Common Stock,China,2017,667822,Consumer Discretionary,Miscellaneous manufacturing industries
DOLE,Dole plc Ordinary Shares,Ireland,2021,473841,Consumer Staples,Farming/Seeds/Milling
DOMH,Dominari Holdings Inc. Common Stock,United States,,347830,Health Care,Biotechnology: Pharmaceutical Preparations
DOMO,Domo Inc. Class B Common Stock,United States,2018,1010324,Technology,Computer Software: Prepackaged Software
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,Canada,,208546,Consumer Discretionary,Industrial Specialties
DORM,Dorman Products Inc. Common Stock,United States,,176636,Consumer Discretionary,Auto Parts:O.E.M.
DOUG,Douglas Elliman Inc. Common Stock,United States,2021,1052984,Finance,Real Estate
DOV,Dover Corporation Common Stock,United States,,664026,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,United States,2019,8843182,Industrials,Major Chemicals
DOX,Amdocs Limited Ordinary Shares,Guernsey,,474417,Technology,EDP Services
DOYU,DouYu International Holdings Limited ADS,China,2019,48450,Technology,Computer Software: Programming Data Processing
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,United States,2011,58198,Finance,Trusts Except Educational Religious and Charitable
DPRO,Draganfly Inc. Common Shares,Canada,,903925,Industrials,Aerospace
DPZ,Domino's Pizza Inc Common Stock,United States,2004,384098,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,China,2010,522933,Technology,Semiconductors
DRCT,Direct Digital Holdings Inc. Class A Common Stock,United States,2022,287352,Consumer Discretionary,Advertising
DRD,DRDGOLD Limited American Depositary Shares,South Africa,,310865,Basic Materials,Precious Metals
DRDB,Roman DBDR Acquisition Corp. II Ordinary shares,United States,2025,145901,,
DRDBU,Roman DBDR Acquisition Corp. II Unit,United States,2024,1600,,
DRDBW,Roman DBDR Acquisition Corp. II Warrants,United States,2025,2745,,
DRH,Diamondrock Hospitality Company Common Stock,United States,2005,1750665,Real Estate,Real Estate Investment Trusts
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,United States,,1444,,
DRI,Darden Restaurants Inc. Common Stock,United States,,811445,Consumer Discretionary,Restaurants
DRIO,DarioHealth Corp. Common Stock,Israel,,59022,Health Care,Medical/Dental Instruments
DRMA,Dermata Therapeutics Inc. Common Stock,United States,2021,117174,Health Care,Biotechnology: Pharmaceutical Preparations
DRMAW,Dermata Therapeutics Inc. Warrant,United States,2021,1000,Health Care,Biotechnology: Pharmaceutical Preparations
DRRX,DURECT Corporation Common Stock,United States,2000,20033,Health Care,Biotechnology: Pharmaceutical Preparations
DRS,Leonardo DRS Inc. Common Stock,Israel,,956137,Industrials,Industrial Machinery/Components
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,Israel,,22293,Health Care,Medical/Dental Instruments
DRTSW,Alpha Tau Medical Ltd. Warrant,Israel,,50,Health Care,Medical/Dental Instruments
DRUG,Bright Minds Biosciences Inc. Common Stock,Canada,,10568,Health Care,Biotechnology: Pharmaceutical Preparations
DRVN,Driven Brands Holdings Inc. Common Stock,United States,2021,1351180,Consumer Discretionary,Automotive Aftermarket
DSGN,Design Therapeutics Inc. Common Stock,United States,2021,225363,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,Distribution Solutions Group Inc. Common Stock,United States,,73695,Consumer Discretionary,Industrial Specialties
DSGX,Descartes Systems Group Inc. (The) Common Stock,Canada,,257194,Technology,Computer Software: Prepackaged Software
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,United States,2013,223292,Finance,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,United States,1989,161093,Finance,Investment Managers
DSP,Viant Technology Inc. Class A Common Stock,United States,2021,227837,Technology,Computer Software: Programming Data Processing
DSS,DSS Inc. Common Stock,United States,,40592,Consumer Discretionary,Containers/Packaging
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,United States,1998,153529,Finance,Finance Companies
DSWL,Deswell Industries Inc. Common Shares,Macau,1995,18321,Industrials,Plastic Products
DSX,Diana Shipping inc. common stock,Greece,2005,251696,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),Greece,,1365,,
DSY,Big Tree Cloud Holdings Limited Ordinary Shares,China,,30207,Consumer Discretionary,Containers/Packaging
DSYWW,Big Tree Cloud Holdings Limited Warrants,China,,203528,Consumer Discretionary,Containers/Packaging
DT,Dynatrace Inc. Common Stock,United States,2019,2133609,Technology,Computer Software: Prepackaged Software
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,United States,2020,38538,Utilities,Electric Utilities: Central
DTCK,Davis Commodities Limited Ordinary Shares,Singapore,2023,20424,Industrials,Farming/Seeds/Milling
DTE,DTE Energy Company Common Stock,United States,,1159007,Utilities,Electric Utilities: Central
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,United States,1991,1285,Finance,Investment Managers
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,United States,2021,15787,Utilities,Electric Utilities: Central
DTI,Drilling Tools International Corporation Common Stock,United States,2021,57429,Industrials,Metal Fabrications
DTIL,Precision BioSciences Inc. Common Stock,United States,2019,57592,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTM,DT Midstream Inc. Common Stock ,United States,2021,813182,Utilities,Natural Gas Distribution
DTSQ,DT Cloud Star Acquisition Corporation Ordinary Shares,United States,2024,2227,,
DTSS,Datasea Inc. Common Stock,China,,38310,Technology,Computer Software: Prepackaged Software
DTST,Data Storage Corporation Common Stock,United States,,30188,Technology,EDP Services
DTSTW,Data Storage Corporation Warrant,United States,,8170,Technology,EDP Services
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,United States,2017,18681,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,United States,,3288240,Utilities,Power Generation
DUK^A,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,66620,,
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,United States,2018,30405,Utilities,Power Generation
DUO,Fangdd Network Group Ltd. Class A Ordinary Shares,China,2019,2170505,Finance,Real Estate
DUOL,Duolingo Inc. Class A Common Stock,United States,2021,635867,Technology,Computer Software: Prepackaged Software
DUOT,Duos Technologies Group Inc. Common Stock,United States,,114875,Technology,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings Inc. Common Stock,United States,2021,4799253,Technology,Computer Software: Programming Data Processing
DVA,DaVita Inc. Common Stock,United States,,721412,Health Care,Misc Health and Biotechnology Services
DVAX,Dynavax Technologies Corporation Common Stock,United States,2004,1439540,Health Care,Biotechnology: Pharmaceutical Preparations
DVLT,Datavault AI Inc. Common Stock,United States,2018,455622,Technology,Semiconductors
DVN,Devon Energy Corporation Common Stock,United States,1985,8117094,Energy,Oil & Gas Production
DVS,Dolly Varden Silver Corporation Common Shares,,2025,346619,,
DWSN,Dawson Geophysical Company Common Stock,United States,,1233,Energy,Oil & Gas Production
DWTX,Dogwood Therapeutics Inc. Common Stock,United States,2020,50968,Health Care,Biotechnology: Pharmaceutical Preparations
DX,Dynex Capital Inc. Common Stock,United States,,2985176,Real Estate,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,16788,,
DXC,DXC Technology Company Common Stock ,United States,,1872971,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,United States,2005,1857994,Health Care,Medical/Dental Instruments
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),,,155182,Finance,Finance: Consumer Services
DXLG,Destination XL Group Inc. Common Stock,United States,,194735,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises Inc. Common Stock,United States,,113234,Industrials,Industrial Machinery/Components
DXR,Daxor Corporation Common Stock,United States,,3251,Health Care,Medical/Dental Instruments
DXST,Decent Holding Inc Class A Ordinary Shares,China,2025,23301,Industrials,Miscellaneous
DXYZ,Destiny Tech100 Inc. Common Stock,,2024,289798,,
DY,Dycom Industries Inc. Common Stock,United States,,331397,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYAI,Dyadic International Inc. Common Stock,United States,,61481,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYCQ,DT Cloud Acquisition Corporation Ordinary Shares,United Kingdom,2024,416,,
DYCQR,DT Cloud Acquisition Corporation Right,United Kingdom,2024,250000,,
DYN,Dyne Therapeutics Inc. Common Stock,United States,2020,1975361,Health Care,Biotechnology: Pharmaceutical Preparations
DYNX,Dynamix Corporation Class A Ordinary Shares,United States,2024,187,,
DYNXU,Dynamix Corporation Unit,United States,2024,127,,
DYNXW,Dynamix Corporation Warrant,United States,2024,1069,,
E,ENI S.p.A. Common Stock,Italy,,253644,Energy,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,United States,,2927927,Technology,Computer Software: Prepackaged Software
EAD,Allspring Income Opportunities Fund Common Shares,United States,2003,82010,Finance,Finance/Investors Services
EAF,GrafTech International Ltd. Common Stock,United States,2018,1287716,Energy,Industrial Machinery/Components
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,United States,2016,19095,Utilities,Electric Utilities: Central
EARN,Ellington Credit Company Common Shares of Beneficial Interest,United States,2013,241184,Real Estate,Real Estate Investment Trusts
EAT,Brinker International Inc. Common Stock,United States,,960643,Consumer Discretionary,Restaurants
EB,Eventbrite Inc. Class A Common Stock,United States,2018,693410,Technology,Computer Software: Programming Data Processing
EBAY,eBay Inc. Common Stock,United States,1998,6283925,Consumer Discretionary,Business Services
EBC,Eastern Bankshares Inc. Common Stock,United States,2020,1881924,Finance,Savings Institutions
EBF,Ennis Inc. Common Stock,United States,,126855,Consumer Discretionary,Office Equipment/Supplies/Services
EBMT,Eagle Bancorp Montana Inc. Common Stock,United States,2010,36881,Finance,Major Banks
EBON,Ebang International Holdings Inc. Class A Ordinary Shares,China,2020,3666,Technology,Semiconductors
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),Brazil,2016,888072,Utilities,Electric Utilities: Central
EBS,Emergent BioSolutions Inc. Common Stock,United States,2006,722013,Health Care,Biotechnology: Pharmaceutical Preparations
EBTC,Enterprise Bancorp Inc Common Stock,United States,,14139,Finance,Major Banks
EC,Ecopetrol S.A. American Depositary Shares,Colombia,,2559535,Energy,Oil & Gas Production
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,United States,2021,312259,Finance,Trusts Except Educational Religious and Charitable
ECBK,ECB Bancorp Inc. Common Stock,United States,2022,16387,Finance,Banks
ECC           ,Eagle Point Credit Company Inc. Common Stock,United States,2014,1466792,Finance,Trusts Except Educational Religious and Charitable
ECC^D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,United States,,3932,,
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,United States,,1625,Finance,Trusts Except Educational Religious and Charitable
ECCF,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,United States,,3250,,
ECCU,Eagle Point Credit Company Inc. 7.75% Notes due 2030,United States,2024,9346,,
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,United States,2022,410,Finance,Trusts Except Educational Religious and Charitable
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,United States,2021,2768,Finance,Trusts Except Educational Religious and Charitable
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,United States,2022,2335,Finance,Trusts Except Educational Religious and Charitable
ECDA,ECD Automotive Design Inc. Common Stock,United States,2022,616178,Consumer Discretionary,Auto Manufacturing
ECDAW,ECD Automotive Design Inc. Warrant ,United States,2022,176020,Consumer Discretionary,Auto Manufacturing
ECF,Ellsworth Growth and Income Fund Ltd.,United States,1986,39034,Finance,Finance/Investors Services
ECG,Everus Construction Group Inc. Common Stock,United States,2024,339278,Consumer Discretionary,Homebuilding
